name,team,pctile_min,pctile_ppg,pctile_fg2_pct,pctile_interior_def_fg_pct,pctile_blk,pctile_reb,pctile_ast_minus_tov,pctile_net_off_rating,pctile_fg3m,pctile_perimeter_def_fg_pct,pctile_net_def_rating,pctile_stl,pctile_avg_speed,pctile_loose_balls,pctile_charges,pctile_box_outs
AJ Green,MIL,89.4,52.0,20.9,30.8,9.4,25.4,49.2,89.4,95.8,19.6,50.8,16.5,70.5,60.4,74.6,58.9
Aaron Gordon,DEN,26.7,78.0,64.0,23.0,40.7,81.3,70.8,88.2,70.4,99.5,83.9,28.3,5.6,51.3,21.6,51.6
Aaron Holiday,HOU,13.2,13.5,3.3,17.2,9.4,0.5,25.3,28.2,49.5,99.7,91.0,16.5,10.3,6.1,74.6,8.3
Aaron Nesmith,IND,45.8,70.0,10.2,73.0,66.7,58.5,29.6,75.1,86.0,82.8,24.3,28.3,79.1,85.6,91.5,26.9
Aaron Wiggins,OKC,50.8,45.8,38.6,55.0,55.6,33.7,29.6,11.9,63.0,3.4,30.2,63.5,94.0,78.6,56.1,33.6
Ace Bailey,UTA,78.6,70.0,36.4,37.6,79.1,58.5,17.6,23.7,74.6,14.4,32.8,52.1,23.9,80.2,21.6,49.7
Adem Bona,PHI,40.7,9.3,79.1,82.9,93.8,59.9,1.3,51.5,6.9,16.9,50.0,8.7,67.1,48.9,21.6,81.6
Ajay Mitchell,OKC,55.3,68.4,47.4,90.6,40.7,38.4,81.7,73.5,44.7,26.1,85.8,85.7,89.0,88.8,56.1,41.8
Al Horford,GSW,24.3,36.0,68.9,70.1,92.1,66.8,74.1,50.4,68.3,99.2,42.5,41.3,12.4,46.0,21.6,79.2
Alex Caruso,OKC,28.0,19.8,87.8,21.2,40.7,27.2,56.5,57.0,35.4,18.0,97.5,89.6,51.5,62.8,74.6,49.7
Alex Sarr,WAS,43.4,78.6,42.6,89.7,99.7,89.9,53.8,38.6,41.7,26.1,46.7,52.1,56.2,58.7,21.6,88.5
Alperen Sengun,HOU,93.7,89.8,52.1,48.5,92.1,95.4,90.7,79.9,19.3,15.6,1.3,85.7,3.3,93.1,89.7,94.4
Amen Thompson,HOU,100.0,84.7,70.9,53.8,73.8,92.1,89.0,92.2,12.6,89.0,30.2,95.8,29.6,97.8,46.6,60.1
Andre Drummond,PHI,40.5,21.6,29.4,6.0,83.9,93.5,17.6,16.5,16.1,82.8,43.5,28.3,13.0,12.7,21.6,92.9
Andrew Nembhard,IND,69.6,80.7,18.3,14.9,9.4,27.2,99.2,57.9,74.3,45.9,9.0,63.5,43.1,76.3,56.1,31.6
Andrew Wiggins,MIA,82.3,76.6,30.7,14.4,89.9,65.1,59.8,36.0,81.2,45.9,20.9,79.9,44.4,81.3,21.6,74.5
Anfernee Simons,CHI,47.9,72.9,27.0,45.6,9.4,20.4,58.1,48.3,91.5,69.6,22.6,16.5,61.0,12.7,21.6,1.5
Anthony Black,ORL,75.1,74.9,30.3,25.1,79.1,49.7,70.8,52.5,66.1,31.5,35.3,92.9,41.3,56.9,80.3,43.7
Anthony Davis,WAS,5.6,89.8,50.5,91.1,98.7,98.4,38.4,54.4,17.5,15.6,18.7,79.9,1.3,6.1,92.6,94.2
Anthony Edwards,MIN,84.4,99.5,54.2,29.9,83.9,68.5,47.5,90.5,98.7,54.5,6.3,92.9,7.9,88.8,21.6,35.2
Anthony Gill,WAS,23.5,17.1,98.1,51.3,55.6,29.1,36.4,27.2,12.2,18.7,36.9,28.3,48.3,8.7,56.1,83.9
