PLAYER_ID,name,team,hp,attack,defense,sp_attack,sp_defense,speed,base_stat_total,pokemon_id,pokemon_name,pokemon_type1,pokemon_type2,pokemon_hp,pokemon_attack,pokemon_defense,pokemon_sp_attack,pokemon_sp_defense,pokemon_speed,pokemon_base_stat_total,total_stat_difference,match_quality_percentile
1631260,AJ Green,MIL,45,86,50,92,55,90,418,198,murkrow,dark,flying,60,85,42,85,42,91,405,22.6,68.2
1642358,AJ Johnson,DAL,20,20,43,55,53,38,229,280,ralts,psychic,fairy,28,25,25,45,35,40,198,29.0,46.8
203932,Aaron Gordon,DEN,80,115,106,100,82,30,513,781,dhelmise,ghost,grass,70,131,100,86,90,40,517,27.4,50.7
1628988,Aaron Holiday,HOU,30,55,72,50,90,20,317,355,duskull,ghost,,20,40,90,30,90,25,295,32.8,37.0
1630174,Aaron Nesmith,IND,60,85,85,73,45,110,458,432,purugly,normal,,71,82,64,64,59,112,452,29.2,46.4
1630598,Aaron Wiggins,OKC,50,65,65,40,56,101,377,190,aipom,normal,,55,70,55,40,55,85,360,20.2,75.3
1642846,Ace Bailey,UTA,66,78,70,45,55,57,371,520,tranquill,normal,flying,62,77,62,50,42,65,358,18.4,81.7
1641737,Adem Bona,PHI,90,55,80,50,50,65,390,288,vigoroth,normal,,80,80,80,55,55,90,440,37.4,26.7
1642349,Ajay Mitchell,OKC,45,90,100,100,105,108,548,6,charizard,fire,flying,78,84,78,109,85,100,534,46.4,14.0
201143,Al Horford,GSW,85,65,110,80,56,36,432,770,palossand,ghost,ground,85,75,110,100,75,35,480,29.4,45.6
1627936,Alex Caruso,OKC,45,52,70,73,140,75,455,226,mantine,water,flying,85,40,70,80,140,70,485,42.6,20.2
1642259,Alex Sarr,WAS,76,90,115,65,65,73,484,711,gourgeist-average,ghost,grass,65,90,122,58,75,84,494,21.0,73.3
1630578,Alperen Sengun,HOU,100,115,95,110,38,95,553,503,samurott,water,,95,100,85,108,70,70,528,44.8,16.3
1641708,Amen Thompson,HOU,60,115,121,120,85,100,601,481,mesprit,psychic,,80,105,105,105,105,80,580,42.2,20.5
1629599,Amir Coffey,PHX,65,40,85,25,85,30,330,436,bronzor,steel,psychic,57,24,86,24,86,23,300,19.3,78.4
203083,Andre Drummond,PHI,140,53,90,42,55,30,410,594,alomomola,water,,165,75,80,40,45,65,470,50.4,10.3
1641748,Andre Jackson Jr.,MIL,61,20,57,30,95,60,323,165,ledyba,bug,flying,40,20,30,40,80,55,265,39.0,23.6
1629614,Andrew Nembhard,IND,45,100,37,130,44,70,426,441,chatot,normal,flying,76,65,45,92,42,91,411,64.3,3.9
203952,Andrew Wiggins,MIA,55,100,90,65,60,75,445,505,watchog,normal,,60,85,69,60,69,77,420,28.3,48.4
1629014,Anfernee Simons,CHI,46,92,60,70,40,38,346,341,corphish,water,,43,80,65,50,35,35,308,24.7,60.2
1641710,Anthony Black,ORL,60,85,63,80,83,70,441,148,dragonair,dragon,,61,84,65,70,70,70,420,16.6,87.1
203076,Anthony Davis,WAS,100,105,151,65,58,30,509,205,forretress,bug,steel,75,90,140,60,60,40,465,33.2,36.3
1630162,Anthony Edwards,MIN,60,140,85,90,55,50,480,342,crawdaunt,water,dark,63,120,85,90,55,55,468,20.8,73.8
1630264,Anthony Gill,WAS,75,70,45,51,50,45,336,759,stufful,normal,fighting,70,75,50,45,50,50,340,11.7,97.8
1630574,Ariel Hukporti,NYK,106,30,125,20,90,45,416,790,cosmoem,psychic,,43,29,131,29,131,37,400,76.4,2.1
1642854,Asa Newell,ATL,80,58,60,40,40,75,353,17,pidgeotto,normal,flying,63,60,55,50,50,71,349,23.1,66.6
1641709,Ausar Thompson,DET,64,70,120,100,111,110,575,788,tapu-fini,water,fairy,70,75,115,95,130,85,570,33.1,36.6
1630559,Austin Reaves,LAL,53,135,64,100,100,136,588,802,marshadow,fighting,ghost,90,125,80,90,90,125,600,45.2,15.6
1630245,Ayo Dosunmu,MIN,50,112,85,81,70,93,491,779,bruxish,water,psychic,68,105,70,70,70,92,475,26.8,52.6
1628389,Bam Adebayo,MIA,95,105,130,100,100,91,621,784,kommo-o,dragon,fighting,75,110,125,100,105,85,600,22.6,68.2
1631248,Baylor Scheierman,BOS,60,60,73,55,65,55,368,30,nidorina,poison,,70,62,67,55,55,56,365,15.5,89.7
1642879,Ben Saraf,BKN,60,48,35,50,80,65,338,271,lombre,water,grass,60,50,50,60,70,50,340,25.6,56.9
1641767,Ben Sheppard,IND,50,60,53,62,55,85,365,662,fletchinder,fire,flying,62,73,55,56,52,84,382,19.1,78.9
1631097,Bennedict Mathurin,LAC,60,105,58,48,71,48,390,67,machoke,fighting,,80,100,70,50,60,45,405,26.5,53.8
1643016,Bez Mbeng,UTA,45,64,70,70,120,70,439,413,wormadam-plant,bug,grass,60,59,85,79,105,36,424,44.0,17.7
1641731,Bilal Coulibaly,WAS,60,70,77,69,80,55,411,8,wartortle,water,,59,63,80,65,80,58,405,9.2,99.8
1631104,Blake Wesley,POR,45,40,30,35,50,40,240,270,lotad,water,grass,40,30,30,40,50,30,220,15.8,88.3
1626171,Bobby Portis Jr.,MIL,95,95,55,60,46,55,406,499,pignite,fire,fighting,90,93,55,70,55,55,418,14.5,93.3
203992,Bogdan Bogdanović,LAC,65,55,44,40,55,30,289,48,venonat,bug,poison,60,55,50,40,55,45,305,16.9,86.2
1630538,Bones Hyland,MIN,30,73,45,75,80,50,353,582,vanillite,ice,,36,50,50,65,60,44,305,33.6,35.7
1642382,Branden Carlson,OKC,86,60,62,40,25,25,298,79,slowpoke,water,psychic,90,65,65,40,40,15,315,19.4,78.2
1641764,Brandin Podziemski,GSW,54,92,68,70,100,125,509,26,raichu,electric,,60,90,55,90,80,110,485,35.1,32.4
1627742,Brandon Ingram,TOR,58,120,90,85,31,30,414,525,boldore,rock,,70,105,105,50,40,20,390,44.7,16.6
1641706,Brandon Miller,CHA,60,115,95,90,85,61,506,367,huntail,water,,55,104,105,94,75,52,485,21.0,73.3
