PLAYER_ID,name,team,hp,attack,defense,sp_attack,sp_defense,speed,base_stat_total,pokemon_id,pokemon_name,pokemon_type1,pokemon_type2,pokemon_hp,pokemon_attack,pokemon_defense,pokemon_sp_attack,pokemon_sp_defense,pokemon_speed,pokemon_base_stat_total,total_stat_difference,match_quality_percentile
1631260,AJ Green,MIL,100,60,48,109,45,85,447,666,vivillon,bug,flying,80,52,50,90,50,89,411,0.0688,28.6
203932,Aaron Gordon,DEN,50,100,60,95,135,28,468,352,kecleon,normal,,60,90,70,60,120,40,440,0.0959,6.1
1628988,Aaron Holiday,HOU,44,24,35,50,150,20,323,458,mantyke,water,flying,45,20,50,60,120,50,345,0.1386,0.5
1630174,Aaron Nesmith,IND,64,65,85,92,70,110,486,547,whimsicott,grass,fairy,60,67,85,77,75,116,480,0.0362,92.1
1630598,Aaron Wiggins,OKC,65,60,65,50,30,100,370,61,poliwhirl,water,,65,65,65,50,50,90,385,0.0607,40.5
1642846,Ace Bailey,UTA,85,78,65,60,45,55,388,402,kricketune,bug,,77,85,51,55,51,65,384,0.0562,47.9
1641737,Adem Bona,PHI,60,56,100,35,40,65,356,557,dwebble,bug,rock,50,65,85,35,35,55,325,0.0677,30.7
1642349,Ajay Mitchell,OKC,70,80,88,85,75,108,506,478,froslass,ice,ghost,70,80,70,80,70,110,480,0.0394,86.2
201143,Al Horford,GSW,50,65,91,81,120,35,442,413,wormadam-plant,bug,grass,60,59,85,79,105,36,424,0.0463,74.6
1627936,Alex Caruso,OKC,53,70,45,60,85,72,385,15,beedrill,bug,poison,65,90,40,45,80,75,395,0.0738,22.4
1642259,Alex Sarr,WAS,60,95,140,58,50,70,473,227,skarmory,steel,flying,65,80,140,40,70,70,465,0.0665,33.2
1630578,Alperen Sengun,HOU,105,120,105,85,40,91,546,473,mamoswine,ice,ground,110,130,80,70,60,80,530,0.0719,23.8
1641708,Amen Thompson,HOU,150,115,90,90,110,100,655,487,giratina-altered,ghost,dragon,150,100,120,100,120,90,680,0.0566,47.2
203083,Andre Drummond,PHI,60,48,70,35,75,30,318,285,shroomish,grass,,60,40,60,40,60,35,295,0.0684,29.4
1629614,Andrew Nembhard,IND,77,85,40,120,55,66,443,414,mothim,bug,flying,70,94,50,94,50,66,424,0.0704,25.7
203952,Andrew Wiggins,MIA,90,84,60,76,65,70,445,295,exploud,normal,,104,91,63,91,73,68,490,0.05,65.5
1629014,Anfernee Simons,CHI,65,78,50,95,60,35,383,256,combusken,fire,fighting,60,85,60,85,60,55,405,0.0659,33.9
1641710,Anthony Black,ORL,80,81,58,80,70,65,434,502,dewott,water,,75,75,60,83,60,60,413,0.0333,95.8
203076,Anthony Davis,WAS,38,115,150,50,50,25,428,680,doublade,steel,ghost,59,110,150,45,49,35,448,0.0556,48.4
1630162,Anthony Edwards,MIN,90,140,70,112,73,45,530,604,eelektross,electric,,85,115,80,105,80,50,515,0.0565,47.6
1630264,Anthony Gill,WAS,50,85,60,40,43,40,318,341,corphish,water,,43,80,65,50,35,35,308,0.0542,52.8
1641709,Ausar Thompson,DET,80,65,103,65,116,110,539,497,serperior,grass,,75,75,95,75,95,113,528,0.051,62.7
1630559,Austin Reaves,LAL,75,130,50,105,100,130,590,802,marshadow,fighting,ghost,90,125,80,90,90,125,600,0.0651,34.1
1630245,Ayo Dosunmu,MIN,80,95,75,85,110,90,535,38,ninetales,fire,,73,76,75,81,100,100,505,0.0481,70.4
1628389,Bam Adebayo,MIA,103,110,100,100,90,90,593,151,mew,psychic,,100,100,100,100,100,100,600,0.0295,97.9
1631248,Baylor Scheierman,BOS,65,65,85,55,50,50,370,651,quilladin,grass,,61,78,95,56,58,57,405,0.0515,61.6
1642879,Ben Saraf,BKN,50,45,40,40,45,63,283,339,barboach,water,ground,50,48,43,46,41,60,288,0.0311,96.7
1641767,Ben Sheppard,IND,65,55,50,60,50,85,365,662,fletchinder,fire,flying,62,73,55,56,52,84,382,0.0521,59.8
1631097,Bennedict Mathurin,LAC,72,90,85,55,50,45,397,388,grotle,grass,,75,89,85,55,65,36,405,0.0443,77.9
1641731,Bilal Coulibaly,WAS,70,60,80,62,80,50,402,8,wartortle,water,,59,63,80,65,80,58,405,0.0353,93.0
1626171,Bobby Portis Jr.,MIL,72,75,50,70,60,50,377,672,skiddo,grass,,66,65,48,62,57,52,350,0.0405,85.1
1630538,Bones Hyland,MIN,60,70,45,75,60,45,355,459,snover,grass,ice,60,62,50,62,60,40,334,0.0488,68.1
1641764,Brandin Podziemski,GSW,100,77,65,79,85,123,529,169,crobat,poison,flying,85,90,80,70,80,130,535,0.0523,59.3
1627742,Brandon Ingram,TOR,120,115,100,86,55,29,505,450,hippowdon,ground,,108,112,118,68,72,47,525,0.073,23.3
