PLAYER_ID,name,team,hp,attack,defense,sp_attack,sp_defense,speed,base_stat_total,pokemon_id,pokemon_name,pokemon_type1,pokemon_type2,pokemon_hp,pokemon_attack,pokemon_defense,pokemon_sp_attack,pokemon_sp_defense,pokemon_speed,pokemon_base_stat_total,total_stat_difference,match_quality_percentile
1631260,AJ Green,MIL,70,50,45,81,75,85,406,311,plusle,electric,,60,50,40,85,75,95,405,0.0383,85.1
1642358,AJ Johnson,WAS,40,45,35,24,150,56,350,458,mantyke,water,flying,45,20,50,60,120,50,345,0.1604,0.3
203932,Aaron Gordon,DEN,65,100,52,95,89,23,424,323,camerupt,fire,ground,70,100,70,105,75,40,460,0.0691,35.9
1628988,Aaron Holiday,HOU,46,45,70,50,120,30,361,176,togetic,fairy,flying,55,40,85,80,105,40,405,0.103,6.1
1630174,Aaron Nesmith,IND,57,90,112,90,80,115,544,121,starmie,water,psychic,60,75,85,100,85,115,520,0.062,46.3
1630598,Aaron Wiggins,OKC,74,90,50,81,75,92,462,234,stantler,normal,,73,95,62,85,65,85,465,0.0395,82.1
1641737,Adem Bona,PHI,50,92,90,25,55,42,354,696,tyrunt,rock,dragon,58,89,77,45,45,48,362,0.0779,23.7
1642349,Ajay Mitchell,OKC,40,60,60,35,150,85,430,166,ledian,bug,flying,55,35,50,55,110,85,390,0.1325,1.1
201143,Al Horford,BOS,70,72,90,86,65,25,408,770,palossand,ghost,ground,85,75,110,100,75,35,480,0.0723,30.7
202692,Alec Burks,MIA,50,25,50,74,110,20,329,458,mantyke,water,flying,45,20,50,60,120,50,345,0.1047,5.6
1627936,Alex Caruso,OKC,55,64,110,65,131,108,533,480,uxie,psychic,,75,75,130,75,130,95,580,0.062,46.3
1642259,Alex Sarr,WAS,75,60,92,60,85,85,457,457,lumineon,water,,69,69,76,69,86,91,460,0.0483,69.1
1630578,Alperen Sengun,HOU,100,100,120,65,80,110,575,718,zygarde-50,dragon,ground,108,100,121,81,95,95,600,0.0473,69.9
1641708,Amen Thompson,HOU,91,98,135,60,120,97,601,480,uxie,psychic,,75,75,130,75,130,95,580,0.0572,52.8
1629599,Amir Coffey,LAC,75,62,40,48,42,24,291,590,foongus,grass,poison,69,55,45,55,55,15,294,0.0691,35.9
203083,Andre Drummond,PHI,45,52,55,20,40,36,248,686,inkay,dark,psychic,53,54,53,37,46,45,288,0.0816,18.7
1641748,Andre Jackson Jr.,MIL,52,48,65,35,35,90,325,431,glameow,normal,,49,55,42,42,37,85,310,0.0812,19.2
1629614,Andrew Nembhard,IND,78,70,60,85,76,100,469,49,venomoth,bug,poison,70,65,60,90,75,90,450,0.0319,93.6
203952,Andrew Wiggins,MIA,75,90,85,75,70,55,450,634,zweilous,dark,dragon,72,85,70,65,70,58,420,0.0441,73.2
1629014,Anfernee Simons,POR,99,92,46,115,50,65,467,631,heatmor,fire,,85,97,66,105,66,65,484,0.0657,41.1
1641710,Anthony Black,ORL,79,52,38,55,110,45,379,96,drowzee,psychic,,60,48,45,43,90,42,328,0.0885,13.6
203076,Anthony Davis,DAL,72,130,150,57,94,75,578,768,golisopod,bug,water,75,125,140,60,90,40,530,0.0672,39.5
1630162,Anthony Edwards,MIN,150,130,80,125,60,32,577,500,emboar,fire,fighting,110,123,65,100,65,65,528,0.1088,4.5
1641810,Antonio Reeves,NOP,40,51,40,50,46,46,273,132,ditto,normal,,48,48,48,48,48,48,288,0.0435,74.8
1641709,Ausar Thompson,DET,61,80,105,40,120,104,510,778,mimikyu-disguised,ghost,fairy,55,90,80,50,105,96,476,0.0688,36.4
1630559,Austin Reaves,LAL,107,110,50,130,75,130,602,641,tornadus-incarnate,flying,,79,115,70,125,80,111,580,0.0681,38.1
1630245,Ayo Dosunmu,CHI,65,95,50,80,48,79,417,726,torracat,fire,,65,85,50,80,50,90,420,0.0358,88.7
1628389,Bam Adebayo,MIA,121,95,80,70,79,72,517,537,seismitoad,water,ground,105,95,75,85,75,74,509,0.0447,72.5
1641767,Ben Sheppard,IND,60,60,65,55,63,90,393,301,delcatty,normal,,70,65,65,55,55,90,400,0.0347,90.4
1627732,Ben Simmons,LAC,55,45,58,58,56,40,312,393,piplup,water,,53,51,53,61,56,40,314,0.0275,96.8
1631097,Bennedict Mathurin,IND,90,85,50,55,69,73,422,400,bibarel,normal,water,79,85,60,55,60,71,410,0.0421,77.2
1641731,Bilal Coulibaly,WAS,80,70,83,63,95,105,496,428,lopunny,normal,,65,76,84,54,96,105,480,0.038,86.1
202687,Bismack Biyombo,SAS,30,63,95,23,42,55,308,451,skorupi,poison,bug,40,50,90,30,55,65,330,0.0776,24.0
1631104,Blake Wesley,SAS,43,30,35,40,50,51,249,714,noibat,flying,dragon,40,30,35,45,40,55,245,0.0496,65.9
1626171,Bobby Portis Jr.,MIL,60,80,95,65,80,55,435,600,klang,steel,,60,80,95,70,85,50,440,0.0198,99.7
203992,Bogdan Bogdanović,LAC,62,75,73,70,55,40,375,603,eelektrik,electric,,65,85,70,75,70,40,405,0.0492,66.9
203078,Bradley Beal,PHX,71,100,48,75,70,80,444,234,stantler,normal,,73,95,62,85,65,85,465,0.0426,76.8
