PLAYER_ID,name,team,hp,attack,defense,sp_attack,sp_defense,speed,base_stat_total,pokemon_id,pokemon_name,pokemon_type1,pokemon_type2,pokemon_hp,pokemon_attack,pokemon_defense,pokemon_sp_attack,pokemon_sp_defense,pokemon_speed,pokemon_base_stat_total,total_stat_difference,match_quality_percentile
1631260,AJ Green,MIL,100,60,48,109,45,85,447,310,manectric,electric,,70,75,60,105,60,105,475,0.0948,12.0
203932,Aaron Gordon,DEN,50,100,60,95,135,28,468,352,kecleon,normal,,60,90,70,60,120,40,440,0.0959,11.6
1628988,Aaron Holiday,HOU,44,24,35,50,150,20,323,176,togetic,fairy,flying,55,40,85,80,105,40,405,0.2164,0.5
1630174,Aaron Nesmith,IND,64,65,85,92,70,110,486,547,whimsicott,grass,fairy,60,67,85,77,75,116,480,0.0362,92.1
1630598,Aaron Wiggins,OKC,65,60,65,50,30,100,370,264,linoone,normal,,78,70,61,50,61,100,420,0.0894,16.9
1642846,Ace Bailey,UTA,85,78,65,60,45,55,388,402,kricketune,bug,,77,85,51,55,51,65,384,0.0562,54.0
1641737,Adem Bona,PHI,60,56,100,35,40,65,356,557,dwebble,bug,rock,50,65,85,35,35,55,325,0.0677,37.3
1642349,Ajay Mitchell,OKC,70,80,88,85,75,108,506,478,froslass,ice,ghost,70,80,70,80,70,110,480,0.0394,87.0
201143,Al Horford,GSW,50,65,91,81,120,35,442,413,wormadam-plant,bug,grass,60,59,85,79,105,36,424,0.0463,76.5
1627936,Alex Caruso,OKC,53,70,45,60,85,72,385,148,dragonair,dragon,,61,84,65,70,70,70,420,0.0781,26.6
1642259,Alex Sarr,WAS,60,95,140,58,50,70,473,227,skarmory,steel,flying,65,80,140,40,70,70,465,0.0665,39.8
1630578,Alperen Sengun,HOU,105,120,105,85,40,91,546,473,mamoswine,ice,ground,110,130,80,70,60,80,530,0.0719,32.0
1641708,Amen Thompson,HOU,150,115,90,90,110,100,655,487,giratina-altered,ghost,dragon,150,100,120,100,120,90,680,0.0566,53.2
203083,Andre Drummond,PHI,60,48,70,35,75,30,318,285,shroomish,grass,,60,40,60,40,60,35,295,0.0684,36.2
1629614,Andrew Nembhard,IND,77,85,40,120,55,66,443,71,victreebel,grass,poison,80,105,65,100,70,70,490,0.0877,17.9
203952,Andrew Wiggins,MIA,90,84,60,76,65,70,445,435,skuntank,poison,dark,103,93,67,71,61,84,479,0.0501,69.2
1629014,Anfernee Simons,CHI,65,78,50,95,60,35,383,256,combusken,fire,fighting,60,85,60,85,60,55,405,0.0659,40.7
1641710,Anthony Black,ORL,80,81,58,80,70,65,434,502,dewott,water,,75,75,60,83,60,60,413,0.0333,95.8
203076,Anthony Davis,WAS,38,115,150,50,50,25,428,680,doublade,steel,ghost,59,110,150,45,49,35,448,0.0556,54.2
1630162,Anthony Edwards,MIN,90,140,70,112,73,45,530,604,eelektross,electric,,85,115,80,105,80,50,515,0.0565,53.4
1630264,Anthony Gill,WAS,50,85,60,40,43,40,318,341,corphish,water,,43,80,65,50,35,35,308,0.0542,57.8
1641709,Ausar Thompson,DET,80,65,103,65,116,110,539,497,serperior,grass,,75,75,95,75,95,113,528,0.051,66.9
1630559,Austin Reaves,LAL,75,130,50,105,100,130,590,802,marshadow,fighting,ghost,90,125,80,90,90,125,600,0.0651,41.3
1630245,Ayo Dosunmu,MIN,80,95,75,85,110,90,535,38,ninetales,fire,,73,76,75,81,100,100,505,0.0481,73.3
1628389,Bam Adebayo,MIA,103,110,100,100,90,90,593,151,mew,psychic,,100,100,100,100,100,100,600,0.0295,97.9
1631248,Baylor Scheierman,BOS,65,65,85,55,50,50,370,651,quilladin,grass,,61,78,95,56,58,57,405,0.0515,65.5
1642879,Ben Saraf,BKN,50,45,40,40,45,63,283,339,barboach,water,ground,50,48,43,46,41,60,288,0.0311,96.7
1641767,Ben Sheppard,IND,65,55,50,60,50,85,365,662,fletchinder,fire,flying,62,73,55,56,52,84,382,0.0521,63.5
1631097,Bennedict Mathurin,LAC,72,90,85,55,50,45,397,372,shelgon,dragon,,65,95,100,60,50,50,420,0.0457,77.8
1641731,Bilal Coulibaly,WAS,70,60,80,62,80,50,402,8,wartortle,water,,59,63,80,65,80,58,405,0.0353,93.0
1626171,Bobby Portis Jr.,MIL,72,75,50,70,60,50,377,536,palpitoad,water,ground,75,65,55,65,55,69,384,0.0614,47.1
1630538,Bones Hyland,MIN,60,70,45,75,60,45,355,459,snover,grass,ice,60,62,50,62,60,40,334,0.0488,71.6
1641764,Brandin Podziemski,GSW,100,77,65,79,85,123,529,169,crobat,poison,flying,85,90,80,70,80,130,535,0.0523,63.0
1627742,Brandon Ingram,TOR,120,115,100,86,55,29,505,534,conkeldurr,fighting,,105,140,95,55,65,45,505,0.0927,14.3
1641706,Brandon Miller,CHA,85,105,95,110,80,60,535,503,samurott,water,,95,100,85,108,70,70,528,0.039,88.4
1630314,Brandon Williams,DAL,70,82,52,70,56,97,427,726,torracat,fire,,65,85,50,80,50,90,420,0.0353,93.0
1641729,Brice Sensabaugh,UTA,75,95,32,70,57,70,399,404,luxio,electric,,60,85,49,60,49,60,363,0.0778,27.0
201572,Brook Lopez,LAC,74,60,110,60,85,20,409,219,magcargo,fire,rock,60,50,120,90,80,30,430,0.0899,16.4
1628971,Bruce Brown,DEN,85,50,40,29,90,20,314,422,shellos,water,,76,48,48,57,62,34,325,0.1369,2.1
1631121,Bryce McGowens,NOP,45,56,30,65,75,107,378,311,plusle,electric,,60,50,40,85,75,95,405,0.0768,27.8
1642267,Bub Carrington,WAS,100,50,44,90,45,65,394,425,drifloon,ghost,flying,90,50,34,60,44,70,348,0.0904,16.1
1627741,Buddy Hield,ATL,45,65,68,65,30,103,376,193,yanma,bug,flying,65,65,45,75,45,95,390,0.0948,12.0
203468,CJ McCollum,ATL,97,104,55,100,100,90,546,59,arcanine,fire,,90,110,80,100,80,95,555,0.0612,47.8
1630595,Cade Cunningham,DET,91,125,100,150,100,102,668,484,palkia,water,dragon,90,120,100,150,120,100,680,0.0308,97.4
1631126,Caleb Love,POR,52,60,20,61,80,30,303,704,goomy,dragon,,45,50,35,55,75,40,300,0.0767,28.2
1628997,Caleb Martin,DAL,45,35,70,30,95,84,359,456,finneon,water,,49,49,56,49,61,66,330,0.1377,1.9
1642285,Cam Spencer,MEM,75,70,43,115,55,75,433,267,beautifly,bug,flying,60,70,50,100,50,65,395,0.0603,48.9
1630560,Cam Thomas,MIL,46,68,25,78,25,28,270,69,bellsprout,grass,poison,50,75,35,70,30,40,300,0.07,33.9
1629661,Cameron Johnson,DEN,74,75,52,100,45,80,426,441,chatot,normal,flying,76,65,45,92,42,91,411,0.0445,79.8
1627747,Caris LeVert,DET,58,47,75,35,65,50,330,540,sewaddle,bug,grass,45,53,70,40,60,42,310,0.058,51.1
1642868,Carter Bryant,SAS,45,44,90,25,41,45,290,290,nincada,bug,ground,31,45,90,30,30,40,266,0.069,35.3
1641717,Cason Wallace,OKC,90,55,75,71,130,70,491,226,mantine,water,flying,85,40,70,80,140,70,485,0.0438,81.5
1642907,Cedric Coward,MEM,71,85,95,87,72,121,531,121,starmie,water,psychic,60,75,85,100,85,115,520,0.0502,68.5
1631096,Chet Holmgren,OKC,85,120,150,65,90,60,570,768,golisopod,bug,water,75,125,140,60,90,40,530,0.0464,76.2
1631128,Christian Braun,DEN,65,100,50,85,100,45,445,775,komala,normal,,65,115,65,75,95,65,480,0.0675,37.7
203991,Clint Capela,HOU,50,40,134,29,135,35,423,790,cosmoem,psychic,,43,29,131,29,131,37,400,0.0343,94.0
1629632,Coby White,CHA,60,100,71,100,50,91,472,512,simisage,grass,,75,98,63,98,63,101,498,0.0491,70.9
1642262,Cody Williams,UTA,73,66,60,45,35,75,354,434,stunky,poison,dark,63,63,47,41,41,74,329,0.0533,59.5
1630175,Cole Anthony,MIL,25,45,44,30,40,79,263,19,rattata,normal,,30,56,35,25,35,72,253,0.07,33.9
1631221,Collin Gillespie,PHX,100,60,50,125,101,150,586,135,jolteon,electric,,65,65,60,110,95,130,525,0.0807,23.0
1642867,Collin Murray-Boyles,TOR,60,75,80,40,79,71,405,507,herdier,normal,,65,80,65,35,65,60,370,0.0641,42.5
1629012,Collin Sexton,CHI,72,91,64,75,90,57,449,119,seaking,water,,80,92,65,65,80,68,450,0.0438,81.5
1642843,Cooper Flagg,DAL,100,110,105,80,75,98,568,445,garchomp,dragon,ground,108,130,95,80,85,102,600,0.0447,79.4
1630557,Corey Kispert,ATL,55,80,65,40,50,80,370,190,aipom,normal,,55,70,55,40,55,85,360,0.0433,83.1
1641854,Craig Porter Jr.,CLE,58,40,78,60,70,65,371,575,gothorita,psychic,,60,45,70,75,85,55,390,0.0666,39.4
1631342,Daeqwon Plowden,SAC,45,97,75,75,40,64,396,303,mawile,steel,fairy,50,85,85,55,55,50,380,0.0851,19.6
1631207,Dalen Terry,PHI,30,30,55,30,63,90,298,370,luvdisc,water,,43,30,55,40,65,97,330,0.0571,52.0
1642261,Dalton Knecht,LAL,33,60,35,20,40,23,211,261,poochyena,dark,,35,55,35,30,30,35,220,0.0896,16.7
1629655,Daniel Gafford,DAL,60,90,130,25,82,100,487,472,gliscor,ground,flying,75,95,125,45,75,95,510,0.0549,55.6
