PLAYER_ID,name,team,hp,attack,defense,sp_attack,sp_defense,speed,base_stat_total,pokemon_id,pokemon_name,pokemon_type1,pokemon_type2,pokemon_hp,pokemon_attack,pokemon_defense,pokemon_sp_attack,pokemon_sp_defense,pokemon_speed,pokemon_base_stat_total,total_stat_difference,match_quality_percentile
1631260,AJ Green,MIL,100,60,48,110,45,89,452,956,espathra,psychic,,95,60,60,101,60,105,481,0.058,46.4
203932,Aaron Gordon,DEN,53,105,62,97,135,28,480,691,dragalge,poison,dragon,65,75,90,97,123,44,494,0.0969,9.0
1628988,Aaron Holiday,HOU,44,25,35,51,150,20,325,176,togetic,fairy,flying,55,40,85,80,105,40,405,0.2142,0.3
1630174,Aaron Nesmith,IND,65,68,85,94,70,114,496,121,starmie,water,psychic,60,75,85,100,85,115,520,0.0361,90.2
1630598,Aaron Wiggins,OKC,68,61,65,50,30,101,375,264,linoone,normal,,78,70,61,50,61,100,420,0.0856,16.1
1642846,Ace Bailey,UTA,89,80,67,60,45,55,396,402,kricketune,bug,,77,85,51,55,51,65,384,0.0621,41.0
1641737,Adem Bona,PHI,60,60,100,35,40,65,360,557,dwebble,bug,rock,50,65,85,35,35,55,325,0.0636,38.2
1642349,Ajay Mitchell,OKC,70,80,90,85,75,110,510,547,whimsicott,grass,fairy,60,67,85,77,75,116,480,0.0401,85.7
201143,Al Horford,GSW,50,65,95,81,120,35,446,413,wormadam-plant,bug,grass,60,59,85,79,105,36,424,0.0496,65.7
1627936,Alex Caruso,OKC,55,70,45,60,85,75,390,958,tinkatuff,fairy,steel,65,55,55,45,82,78,380,0.0671,34.0
1642259,Alex Sarr,WAS,64,95,135,58,53,73,478,968,orthworm,steel,,70,85,145,60,55,65,480,0.0366,88.8
1630578,Alperen Sengun,HOU,110,120,105,85,40,95,555,473,mamoswine,ice,ground,110,130,80,70,60,80,530,0.0732,26.5
1641708,Amen Thompson,HOU,150,117,95,90,110,100,662,487,giratina-altered,ghost,dragon,150,100,120,100,120,90,680,0.0519,59.8
203083,Andre Drummond,PHI,60,49,70,36,75,30,320,285,shroomish,grass,,60,40,60,40,60,35,295,0.0688,31.3
1629614,Andrew Nembhard,IND,80,85,40,125,56,70,456,849,toxtricity-amped,electric,poison,75,98,70,114,70,75,502,0.0791,22.0
203952,Andrew Wiggins,MIA,90,85,60,77,65,74,451,435,skuntank,poison,dark,103,93,67,71,61,84,479,0.0448,77.0
1629014,Anfernee Simons,CHI,65,80,50,95,60,35,385,256,combusken,fire,fighting,60,85,60,85,60,55,405,0.0645,37.3
1641710,Anthony Black,ORL,85,84,60,80,70,67,446,502,dewott,water,,75,75,60,83,60,60,413,0.0429,81.2
203076,Anthony Davis,WAS,38,120,150,50,50,25,433,680,doublade,steel,ghost,59,110,150,45,49,35,448,0.0586,45.4
1630162,Anthony Edwards,MIN,95,140,70,120,75,45,545,899,wyrdeer,normal,psychic,103,105,72,105,75,65,525,0.0819,19.8
1630264,Anthony Gill,WAS,50,90,60,40,45,40,325,942,maschiff,dark,,60,78,60,40,51,51,340,0.0602,42.3
1641709,Ausar Thompson,DET,84,65,105,65,115,112,546,497,serperior,grass,,75,75,95,75,95,113,528,0.0521,59.1
1630559,Austin Reaves,LAL,79,131,50,109,100,138,607,807,zeraora,electric,,88,112,75,102,80,143,600,0.065,36.5
1630245,Ayo Dosunmu,MIN,82,100,78,85,110,91,546,1016,fezandipiti,poison,fairy,88,91,82,70,125,99,555,0.0462,73.3
1628389,Bam Adebayo,MIA,106,111,103,100,90,90,600,151,mew,psychic,,100,100,100,100,100,100,600,0.0319,95.5
1631248,Baylor Scheierman,BOS,70,65,90,55,50,50,380,651,quilladin,grass,,61,78,95,56,58,57,405,0.0502,64.0
1642879,Ben Saraf,BKN,50,45,40,40,45,65,285,339,barboach,water,ground,50,48,43,46,41,60,288,0.034,93.7
1641767,Ben Sheppard,IND,67,55,50,60,52,85,369,662,fletchinder,fire,flying,62,73,55,56,52,84,382,0.0527,58.2
1631097,Bennedict Mathurin,LAC,75,93,85,55,50,45,403,372,shelgon,dragon,,65,95,100,60,50,50,420,0.0473,71.2
1641731,Bilal Coulibaly,WAS,70,61,80,62,80,52,405,8,wartortle,water,,59,63,80,65,80,58,405,0.0322,95.0
1626171,Bobby Portis Jr.,MIL,75,80,50,70,60,50,385,499,pignite,fire,fighting,90,93,55,70,55,55,418,0.0539,55.6
1630538,Bones Hyland,MIN,60,70,45,75,60,45,355,459,snover,grass,ice,60,62,50,62,60,40,334,0.0488,68.0
1641764,Brandin Podziemski,GSW,105,80,65,80,86,130,546,169,crobat,poison,flying,85,90,80,70,80,130,535,0.0543,54.8
1627742,Brandon Ingram,TOR,124,118,101,86,56,30,515,879,copperajah,steel,,122,130,69,80,69,30,500,0.0731,26.9
1641706,Brandon Miller,CHA,88,110,100,110,80,60,548,604,eelektross,electric,,85,115,80,105,80,50,515,0.0445,78.2
1630314,Brandon Williams,DAL,70,85,55,70,60,100,440,22,fearow,normal,flying,65,90,65,61,61,100,442,0.0345,92.9
1641729,Brice Sensabaugh,UTA,80,100,32,70,60,70,412,275,shiftry,grass,dark,90,100,60,90,60,80,480,0.0834,18.4
201572,Brook Lopez,LAC,75,60,112,60,85,20,412,219,magcargo,fire,rock,60,50,120,90,80,30,430,0.0893,13.8
1628971,Bruce Brown,DEN,90,52,40,30,90,20,322,422,shellos,water,,76,48,48,57,62,34,325,0.1377,1.3
1631121,Bryce McGowens,NOP,48,60,30,65,75,110,388,311,plusle,electric,,60,50,40,85,75,95,405,0.0785,23.3
1642267,Bub Carrington,WAS,100,50,45,90,45,65,395,666,vivillon,bug,flying,80,52,50,90,50,89,411,0.0796,21.7
1627741,Buddy Hield,ATL,45,65,70,65,30,106,381,587,emolga,electric,flying,55,75,60,75,60,103,428,0.0894,13.5
203468,CJ McCollum,ATL,100,105,55,105,100,90,555,851,centiskorch,fire,bug,100,115,65,90,90,65,525,0.0628,39.7
1630595,Cade Cunningham,DET,95,125,100,145,100,105,670,484,palkia,water,dragon,90,120,100,150,120,100,680,0.0331,94.2
1631126,Caleb Love,POR,55,60,20,61,82,30,308,704,goomy,dragon,,45,50,35,55,75,40,300,0.0812,20.2
1628997,Caleb Martin,DAL,45,40,70,30,95,85,365,417,pachirisu,electric,,60,45,70,45,90,95,405,0.0636,38.2
1642285,Cam Spencer,MEM,75,70,44,120,55,75,439,267,beautifly,bug,flying,60,70,50,100,50,65,395,0.0672,33.6
1630560,Cam Thomas,MIL,48,70,25,79,25,29,276,69,bellsprout,grass,poison,50,75,35,70,30,40,300,0.0655,35.4
1629661,Cameron Johnson,DEN,75,76,54,105,45,82,437,441,chatot,normal,flying,76,65,45,92,42,91,411,0.0507,63.0
1627747,Caris LeVert,DET,60,48,75,38,65,50,336,540,sewaddle,bug,grass,45,53,70,40,60,42,310,0.0594,44.2
1642868,Carter Bryant,SAS,45,45,93,25,42,45,295,104,cubone,ground,,50,50,95,40,50,35,320,0.0684,32.0
1641717,Cason Wallace,OKC,90,55,75,71,130,70,491,226,mantine,water,flying,85,40,70,80,140,70,485,0.0438,79.4
1642907,Cedric Coward,MEM,75,85,95,88,75,125,543,715,noivern,flying,dragon,85,70,80,97,80,123,535,0.0477,70.4
1631096,Chet Holmgren,OKC,90,124,150,65,90,60,579,768,golisopod,bug,water,75,125,140,60,90,40,530,0.0494,66.3
1631128,Christian Braun,DEN,68,105,50,85,100,45,453,775,komala,normal,,65,115,65,75,95,65,480,0.0628,39.7
203991,Clint Capela,HOU,50,40,131,30,131,35,417,790,cosmoem,psychic,,43,29,131,29,131,37,400,0.0324,94.7
1629632,Coby White,CHA,61,105,75,100,50,95,486,512,simisage,grass,,75,98,63,98,63,101,498,0.0497,65.3
1642262,Cody Williams,UTA,75,69,60,46,35,77,362,434,stunky,poison,dark,63,63,47,41,41,74,329,0.0592,44.7
1630175,Cole Anthony,MIL,25,45,45,35,40,80,270,60,poliwag,water,,40,50,40,40,40,90,300,0.0702,29.6
1631221,Collin Gillespie,PHX,100,62,50,125,101,150,588,897,spectrier,ghost,,100,65,60,145,80,130,580,0.0629,39.2
1642867,Collin Murray-Boyles,TOR,61,80,80,40,80,75,416,507,herdier,normal,,65,80,65,35,65,60,370,0.0681,32.4
1629012,Collin Sexton,CHI,75,95,65,75,90,60,460,119,seaking,water,,80,92,65,65,80,68,450,0.0379,87.6
