PLAYER_ID,name,team,hp,attack,defense,sp_attack,sp_defense,speed,base_stat_total,norm_height,norm_weight,norm_ppg,norm_ts_pct,norm_on_ball_def_fg_pct,norm_blk,norm_reb,norm_ast_minus_tov,norm_net_off_rating,norm_stl,norm_net_def_rating,norm_charges_per_min,norm_loose_balls_per_min,norm_box_outs_per_min,norm_stl_per_min
1631260,AJ Green,MIL,45,86,50,92,55,40,368,0.2941,0.2308,0.2736,0.5961,0.5289,0.0323,0.1774,0.2278,0.7638,0.1818,0.5375,0.094,0.365,0.1178,0.0698
1642358,AJ Johnson,DAL,20,20,43,55,53,23,214,0.3529,0.0,0.0503,0.0,0.5467,0.0323,0.0484,0.1646,0.5491,0.0455,0.5646,0.0,0.3064,0.0238,0.1051
203932,Aaron Gordon,DEN,80,115,106,100,82,30,513,0.5294,0.5769,0.456,0.5766,0.76,0.0968,0.4274,0.3165,0.7546,0.2273,0.5949,0.0,0.3373,0.1042,0.1071
1628988,Aaron Holiday,HOU,30,55,72,50,90,65,362,0.0588,0.1923,0.1195,0.4596,0.8044,0.0323,0.0403,0.1646,0.5061,0.1818,0.6268,0.1998,0.3258,0.0762,0.2364
1630174,Aaron Nesmith,IND,60,85,85,73,45,65,413,0.3529,0.4231,0.3805,0.3928,0.6889,0.1613,0.2984,0.1772,0.684,0.2273,0.4864,0.2073,0.4674,0.0602,0.0959
1630598,Aaron Wiggins,OKC,50,65,65,40,56,85,361,0.3529,0.2308,0.2421,0.3482,0.5956,0.129,0.2097,0.1772,0.4049,0.3636,0.4976,0.0628,0.5944,0.0923,0.2777
1642846,Ace Bailey,UTA,66,78,70,45,55,50,364,0.5882,0.3077,0.3805,0.3343,0.5644,0.2258,0.2984,0.1519,0.4847,0.3182,0.5008,0.0,0.4696,0.1026,0.1716
1641737,Adem Bona,PHI,90,55,80,50,50,66,391,0.6471,0.5769,0.0975,0.6267,0.56,0.3871,0.3065,0.0759,0.589,0.1364,0.5359,0.0,0.5523,0.3983,0.1199
1642349,Ajay Mitchell,OKC,45,90,100,100,105,90,530,0.2941,0.2308,0.3742,0.4791,0.8622,0.0968,0.2258,0.3924,0.6718,0.5,0.5981,0.053,0.5837,0.0924,0.3228
201143,Al Horford,GSW,85,65,110,80,56,60,456,0.5294,0.6154,0.2075,0.3928,0.7022,0.3548,0.3548,0.3291,0.5859,0.2727,0.5199,0.0,0.427,0.2912,0.2025
1627936,Alex Caruso,OKC,45,52,70,73,140,115,495,0.3529,0.2,0.1415,0.3538,0.6711,0.0968,0.1855,0.2532,0.6074,0.5455,0.6619,0.1504,0.6233,0.1556,0.5378
1642259,Alex Sarr,WAS,76,90,115,65,65,50,461,0.7647,0.3462,0.4591,0.3649,0.4889,0.6452,0.5565,0.2405,0.5491,0.3182,0.5279,0.0,0.3843,0.3589,0.1753
1630578,Alperen Sengun,HOU,100,115,95,110,38,92,550,0.7059,0.6385,0.5881,0.4345,0.44,0.3548,0.6774,0.4937,0.7025,0.5,0.3876,0.1644,0.5108,0.376,0.2325
1641708,Amen Thompson,HOU,60,115,121,120,85,70,571,0.4706,0.3077,0.522,0.5042,0.72,0.1935,0.5887,0.481,0.7914,0.6364,0.4976,0.0183,0.5312,0.0956,0.2676
1629599,Amir Coffey,PHX,65,40,85,25,85,75,375,0.4706,0.3846,0.0472,0.5042,0.9022,0.0323,0.0565,0.1646,0.181,0.0455,0.6507,0.1918,0.5709,0.1184,0.0828
203083,Andre Drummond,PHI,140,53,90,42,55,45,425,0.7059,0.9154,0.1478,0.351,0.4933,0.2581,0.6371,0.1519,0.454,0.2273,0.5215,0.0,0.2679,0.5656,0.187
1641748,Andre Jackson Jr.,MIL,61,20,57,30,95,110,373,0.4118,0.3769,0.022,0.0334,0.6489,0.0323,0.0806,0.1519,0.2945,0.1364,0.6523,0.0,0.9378,0.149,0.3276
1629614,Andrew Nembhard,IND,45,100,37,130,44,45,401,0.2941,0.2385,0.478,0.4206,0.3956,0.0323,0.1855,0.7848,0.6104,0.3636,0.4466,0.0437,0.3929,0.0619,0.1696
203952,Andrew Wiggins,MIA,55,100,90,65,60,60,430,0.4118,0.2846,0.4308,0.4819,0.6444,0.3226,0.3468,0.2658,0.5337,0.4545,0.4801,0.0,0.4323,0.182,0.2348
1629014,Anfernee Simons,CHI,46,92,60,70,40,20,328,0.2353,0.3077,0.3962,0.454,0.6044,0.0323,0.1613,0.2658,0.5798,0.1818,0.4833,0.0,0.2005,0.021,0.0948
1641710,Anthony Black,ORL,60,85,63,80,83,66,437,0.4706,0.3077,0.4182,0.3788,0.5067,0.2258,0.2661,0.3165,0.5951,0.5909,0.5056,0.1148,0.3385,0.0825,0.3269
203076,Anthony Davis,WAS,100,105,151,65,58,55,534,0.6471,0.7154,0.5881,0.3844,0.64,0.5484,0.8548,0.2025,0.6012,0.4545,0.4753,0.2186,0.1184,0.381,0.2248
1630162,Anthony Edwards,MIN,60,140,85,90,55,58,488,0.2941,0.5,0.8522,0.5682,0.6267,0.2581,0.3629,0.2152,0.7699,0.5909,0.4338,0.0,0.419,0.0596,0.2667
1630264,Anthony Gill,WAS,75,70,45,51,50,60,351,0.4706,0.5385,0.1289,0.7493,0.4489,0.129,0.1935,0.1899,0.5031,0.2273,0.5088,0.0791,0.2783,0.4308,0.2208
1630574,Ariel Hukporti,NYK,106,30,125,20,90,90,461,0.7647,0.6615,0.0157,0.5738,0.9822,0.1613,0.1935,0.1013,0.1902,0.0455,0.6651,0.0,0.6435,0.6561,0.1091
1642854,Asa Newell,ATL,80,58,60,40,40,73,351,0.6471,0.4615,0.1101,0.5877,0.6044,0.0968,0.1371,0.1266,0.4387,0.1364,0.4928,0.0,0.5332,0.3465,0.2243
1641709,Ausar Thompson,DET,64,70,120,100,111,120,585,0.4706,0.3462,0.2579,0.3677,0.7511,0.2903,0.4194,0.3165,0.7791,0.8636,0.5247,0.0789,0.7732,0.0831,0.5852
1630559,Austin Reaves,LAL,53,135,64,100,100,111,563,0.3529,0.2846,0.6792,0.6351,0.5067,0.129,0.3387,0.4304,0.6626,0.4545,0.5885,0.5751,0.5282,0.0518,0.1966
1630245,Ayo Dosunmu,MIN,50,112,85,81,70,70,468,0.2941,0.3154,0.4119,0.6045,0.7689,0.0968,0.2339,0.3924,0.5337,0.3182,0.5455,0.1504,0.4845,0.0682,0.1744
1628389,Bam Adebayo,MIA,95,105,130,100,100,70,600,0.5882,0.7308,0.5786,0.3844,0.6578,0.2258,0.7661,0.3165,0.7822,0.5,0.5742,0.0634,0.3625,0.5037,0.2411
1631248,Baylor Scheierman,BOS,60,60,73,55,65,75,388,0.4118,0.3462,0.1195,0.5655,0.6889,0.0323,0.2419,0.2278,0.4755,0.1818,0.5614,0.2575,0.4324,0.1242,0.1535
1642879,Ben Saraf,BKN,60,48,35,50,80,78,351,0.4118,0.3077,0.1824,0.2033,0.36,0.0645,0.129,0.2405,0.4264,0.3636,0.5534,0.0658,0.5036,0.086,0.2949
1641767,Ben Sheppard,IND,50,60,53,62,55,41,321,0.4118,0.2308,0.1698,0.4123,0.5467,0.0323,0.2016,0.2658,0.5215,0.2273,0.5311,0.0,0.4056,0.0905,0.1635
