PLAYER_ID,name,team,hp,attack,defense,sp_attack,sp_defense,speed,base_stat_total,norm_height,norm_weight,norm_ppg,norm_ts_pct,norm_on_ball_def_fg_pct,norm_blk,norm_reb,norm_ast_minus_tov,norm_net_off_rating,norm_stl,norm_net_def_rating,norm_charges_per_min,norm_loose_balls_per_min,norm_box_outs_per_min,norm_stl_per_min
1631260,AJ Green,MIL,70,50,45,81,75,85,406,0.25,0.2069,0.1812,0.7318,0.5197,0.0263,0.1085,0.1951,0.5114,0.1071,0.3741,0.1981,0.3276,0.1406,0.1624
1642358,AJ Johnson,WAS,40,45,35,24,150,56,350,0.3125,0.0,0.1877,0.3646,0.5789,0.0263,0.0775,0.2439,0.0,0.0714,1.0,0.0,0.3315,0.0025,0.1141
203932,Aaron Gordon,DEN,65,100,52,95,89,23,424,0.5,0.5172,0.4175,0.8073,0.3947,0.0789,0.2946,0.2927,0.6644,0.1071,0.2562,0.0,0.2094,0.0715,0.1069
1628988,Aaron Holiday,HOU,46,45,70,50,120,30,361,0.0,0.1724,0.1197,0.6615,0.7829,0.0526,0.0233,0.1585,0.3995,0.0357,0.3696,0.1004,0.5165,0.1183,0.1801
1630174,Aaron Nesmith,IND,57,90,112,90,80,115,544,0.375,0.3793,0.3301,0.8151,0.6842,0.1053,0.2326,0.122,0.6895,0.2143,0.2426,0.4127,0.3385,0.0859,0.2892
1630598,Aaron Wiggins,OKC,74,90,50,81,75,92,462,0.3125,0.2069,0.3301,0.6667,0.4474,0.0526,0.2248,0.1829,0.6142,0.2143,0.1542,0.028,0.4372,0.0944,0.3244
1641737,Adem Bona,PHI,50,92,90,25,55,42,354,0.625,0.5172,0.1294,0.974,0.5197,0.3158,0.2481,0.0,0.4315,0.0714,0.2834,0.0,0.2743,0.3829,0.2077
1642349,Ajay Mitchell,OKC,40,60,60,35,150,85,430,0.3125,0.2069,0.1521,0.6432,0.7039,0.0263,0.0698,0.1951,0.274,0.1786,0.3673,0.3095,0.3327,0.0614,0.4152
201143,Al Horford,BOS,70,72,90,86,65,25,408,0.5625,0.5517,0.233,0.5807,0.5658,0.2368,0.4031,0.2317,0.5662,0.1429,0.2494,0.0,0.1373,0.3019,0.1588
202692,Alec Burks,MIA,50,25,50,74,110,20,329,0.3125,0.3724,0.178,0.6979,0.6513,0.0263,0.1163,0.1341,0.5594,0.1429,0.3265,0.0,0.1366,0.0572,0.3138
1627936,Alex Caruso,OKC,55,64,110,65,131,108,533,0.3125,0.1793,0.1715,0.5937,0.9408,0.1579,0.1473,0.2927,0.4795,0.5,0.3061,0.4992,0.5278,0.101,0.9265
1642259,Alex Sarr,WAS,75,60,92,60,85,85,457,0.75,0.3103,0.3625,0.3698,0.2039,0.3947,0.4264,0.1585,0.4292,0.1786,0.229,0.0,0.4012,0.2674,0.2101
1630578,Alperen Sengun,HOU,100,100,120,65,80,110,575,0.6875,0.5724,0.5599,0.5339,0.4408,0.2105,0.7209,0.3537,0.6096,0.3214,0.2721,0.1835,0.5189,0.5239,0.3242
1641708,Amen Thompson,HOU,91,98,135,60,120,97,601,0.4375,0.2759,0.3981,0.6823,0.8618,0.3421,0.5581,0.2927,0.5548,0.4286,0.2494,0.0795,0.4828,0.0535,0.43
1629599,Amir Coffey,LAC,75,62,40,48,42,24,291,0.4375,0.3448,0.2557,0.7135,0.3684,0.0263,0.093,0.1341,0.3356,0.1429,0.1247,0.1057,0.1606,0.0698,0.1958
203083,Andre Drummond,PHI,45,52,55,20,40,36,248,0.6875,0.8207,0.178,0.5078,0.0789,0.1316,0.5271,0.0122,0.3174,0.2857,0.1497,0.0,0.4547,0.4659,0.5536
