PLAYER_ID,name,team,height,weight,age,gp,min_pg,total_min,ppg,ts_pct,fg2_pct,fg2a,fg3_pct,fg3a,on_ball_def_fg_pct,interior_def_fg_pct,perimeter_def_fg_pct,avg_speed,blk,reb,ast,tov,net_off_rating,stl,net_def_rating,combine_max_vertical,combine_lane_agility,charges_drawn,loose_balls_recovered,box_outs
1630639,A.J. Lawson,TOR,78,179,24.0,26,18.7,486.41,9.1,0.542,0.5294117647058824,3.4,0.327,3.9,0.457,0.614,0.309,4.76,0.2,3.3,1.2,0.6,1.5,0.5,-1.2000000000000028,41.0,11.0,0.0,0.29,0.21
1631260,AJ Green,MIL,76,190,25.0,73,22.7,1659.1416666666667,7.4,0.621,0.5,0.7999999999999998,0.427,5.0,0.459,0.637,0.355,4.47,0.1,2.4,1.5,0.5,0.09999999999999432,0.5,-7.200000000000003,,,0.07,0.42,0.54
1642358,AJ Johnson,WAS,77,160,20.0,29,22.0,638.3866666666667,7.6,0.48,0.4761904761904762,4.199999999999999,0.267,3.1,0.45,0.667,0.302,4.49,0.1,2.0,2.6,1.2,-22.299999999999997,0.4,-34.8,38.0,10.76,0.0,0.41,0.05
203932,Aaron Gordon,DEN,80,235,29.0,51,28.4,1446.7166666666667,14.7,0.65,0.5873015873015874,6.299999999999999,0.436,3.4,0.478,0.654,0.313,4.0,0.3,4.8,3.2,1.4,6.799999999999997,0.5,-2.0,39.0,10.81,0.0,0.41,0.37
1628988,Aaron Holiday,HOU,72,185,28.0,62,12.8,792.2466666666667,5.5,0.594,0.5,1.4,0.398,2.9,0.419,0.56,0.283,4.13,0.2,1.3,1.3,0.6,-4.799999999999997,0.3,-7.0,33.0,10.96,0.02,0.32,0.26
1630174,Aaron Nesmith,IND,78,215,25.0,45,24.9,1121.6183333333333,12.0,0.653,0.5853658536585364,4.1000000000000005,0.431,4.3,0.434,0.5,0.339,4.48,0.4,4.0,1.2,0.8,7.8999999999999915,0.8,-1.4000000000000057,,,0.16,0.47,0.38
1630598,Aaron Wiggins,OKC,77,190,26.0,76,22.9,1743.9,12.0,0.596,0.5882352941176471,5.1,0.383,4.5,0.47,0.656,0.331,4.64,0.2,3.9,1.8,0.9,4.6000000000000085,0.8,2.5,36.0,11.2,0.01,0.51,0.38
1641745,Adam Flagler,OKC,75,180,25.0,37,5.5,202.965,1.8,0.335,0.4285714285714284,0.7000000000000002,0.194,1.9,0.411,0.56,0.265,4.17,0.1,0.7,0.3,0.1,-21.200000000000003,0.2,-10.200000000000003,36.0,10.96,0.0,0.38,0.25
1641766,Adama Sanogo,CHI,81,245,23.0,4,5.4,21.498333333333335,2.0,0.571,0.5555555555555556,1.8,0.0,0.0,0.417,0.5,0.4,4.41,0.0,1.5,0.3,0.3,-7.3999999999999915,0.0,5.900000000000006,31.0,11.5,0.0,0.0,0.67
1641737,Adem Bona,PHI,82,235,22.0,58,15.6,904.55,5.8,0.714,0.6969696969696969,3.3,0.0,0.0,0.459,0.579,0.374,4.35,1.2,4.2,0.5,1.1,-3.3999999999999915,0.4,-3.200000000000003,40.0,11.01,0.0,0.26,0.96
1642349,Ajay Mitchell,OKC,77,190,23.0,36,16.6,596.955,6.5,0.587,0.5588235294117647,3.3999999999999995,0.383,1.7,0.431,0.59,0.243,4.6,0.1,1.9,1.8,0.8,-10.299999999999997,0.7,-6.8999999999999915,33.5,11.12,0.08,0.31,0.19
201143,Al Horford,BOS,81,240,39.0,60,27.6,1658.5733333333333,9.0,0.563,0.5599999999999999,2.5,0.363,5.2,0.452,0.597,0.353,3.98,0.9,6.2,2.1,0.8,2.5,0.6,-1.7000000000000028,35.5,12.15,0.0,0.33,1.35
202692,Alec Burks,MIA,77,214,33.0,49,17.6,863.4966666666667,7.3,0.608,0.38461538461538447,1.2999999999999998,0.425,4.2,0.439,0.616,0.302,4.18,0.1,2.5,1.1,0.6,2.200000000000003,0.6,-5.1000000000000085,36.0,10.96,0.0,0.21,0.19
1627936,Alex Caruso,OKC,77,186,31.0,54,19.3,1040.635,7.1,0.568,0.5555555555555556,2.6999999999999997,0.353,3.1,0.395,0.497,0.306,4.42,0.6,2.9,2.5,0.7,-1.2999999999999972,1.6,-4.200000000000003,,,0.15,0.49,0.34
1642505,Alex Ducas,OKC,79,220,24.0,21,6.0,125.34166666666667,1.7,0.583,0.25,0.3999999999999999,0.476,1.0,0.525,0.75,0.389,4.29,0.0,1.2,0.2,0.2,-20.200000000000003,0.2,-0.10000000000000853,,,0.0,0.2,0.67
